title,publication_date,author,genre,average_rating,num_of_ratings,num_of_pages,rank,language,current_readers,already_read
Powder & Pavlova,"January 23, 2020",Jay Hogan,M M Romance,4.13,"1,461",342,478,English,319,866
The Voting Booth,"July 7, 2020",Brandy Colbert,Young Adult,3.86,"5,646",293,478,English,137,11.8k
The Physicians of Vilnoc,"May 7, 2020",Lois McMaster Bujold,Fantasy,4.3,"4,198",126,478,English,510,"1,015"
If I Were You,"June 2, 2020",Lynn Austin,Historical Fiction,4.18,"14,121",464,478,English,"1,023",16.9k
The Lost Girls of Devon,"July 14, 2020",Barbara O'Neal,Fiction,4.22,"37,958",351,478,English,17.1k,17.9k
Black Skies Riviera,"August 19, 2020",Catherine Wiltcher,Romance,3.95,"5,000",366,478,English,"1,098","6,332"
Gabriel's Promise,"January 7, 2020",Sylvain Reynard,Romance,3.96,"5,251",349,478,English,841,10.9k
The God Game,"January 7, 2020",Danny Tobey,Science Fiction,3.67,"3,943",452,478,English,228,15.1k
Set the Stars Alight,"June 30, 2020",Amanda Dykes,Historical Fiction,4.39,"2,525",367,478,English,221,"5,856"
The Henna Wars,"May 12, 2020",Adiba Jaigirdar,Romance,3.94,"29,553",400,478,English,"1,023",83.1k
Black Sunday,"February 4, 2020",Tola Rotimi Abraham,Fiction,3.64,"2,839",277,488,English,154,10.4k
Notes from an Apocalypse,"April 14, 2020",Mark O'Connell,Nonfiction,3.73,"2,639",272,488,English,337,"9,868"
Ten Things I Hate About the Duke,"December 1, 2020",Loretta Chase,Historical Romance,3.94,"5,606",386,488,English,603,"5,527"
The Vanishing,"January 7, 2020",Jayne Ann Krentz,Romance,3.81,"10,351",294,491,English,"2,235",10.7k
No Fixed Line,"January 9, 2020",Dana Stabenow,Mystery,4.24,"3,205",400,491,English,931,"2,668"
Grown Ups,"February 6, 2020",Marian Keyes,Fiction,3.93,"57,695",636,491,English,"6,702",42.9k
Side Trip,"July 7, 2020",Kerry Lonsdale,Romance,4.33,"6,608",328,491,English,"3,335","7,255"
The Archive of the Forgotten,"October 6, 2020",A.J. Hackwith,Fantasy,3.84,"7,092",352,491,English,533,11k
A Murderous Relation,"March 10, 2020",Deanna Raybourn,Mystery,4.14,"18,760",308,491,English,"1,518",14.1k
The Jetsetters,"March 3, 2020",Amanda Eyre Ward,Fiction,3.08,"56,378",352,497,English,"5,385",52.7k
Drowning in Stars,"August 9, 2020",Debra Anastasia,Romance,4.23,"4,229",357,497,English,"1,499","6,595"
Flamer,"September 1, 2020",Mike Curato,Graphic Novels,4.31,"11,045",366,497,English,174,13.6k
Leave the World Behind,"October 6, 2020",Rumaan Alam,Fiction,3.16,"1,58,755",241,497,English,11.1k,154k
19 Love Songs,"January 7, 2020",David Levithan,Short Stories,3.66,"1,767",310,501,English,152,"3,785"
The Dark Archive,"November 26, 2020",Genevieve Cogman,Fantasy,4.19,"8,952",318,501,English,447,"7,636"
Ik ben er niet,"December 10, 2020",Lize Spit,Fiction,4.1,"8,651",576,501,Dutch; Flemish,266,"6,779"
Of Literature and Lattes,"May 1, 2020",Katherine Reay,,3.64,"4,390",325,504,English,341,"9,401"
The Angel of the Crows,"June 23, 2020",Katherine Addison,Fantasy,3.79,"5,761",448,504,English,604,13.7k
The Gravity of Us,"February 4, 2020",Phil Stamper,LGBT,3.61,"26,055",313,504,English,"1,142",74.3k
Sex and Vanity,"June 30, 2020",Kevin Kwan,Fiction,3.33,"59,225",336,504,English,"6,364",42.6k
Sweet Dandelion,"March 25, 2020",Micalea Smeltzer,Romance,4.01,"14,675",516,508,English,"1,595",22.8k
That Can Be Arranged: A Muslim Love Story,"March 10, 2020",Huda Fahmy,Graphic Novels,4.2,"4,358",192,508,English,67,"7,027"
Magic Unleashed,"April 17, 2020",K.M. Shea,Fantasy,4.41,"10,721",331,510,English,"1,555","1,624"
Rich Prick,"June 15, 2020",Tijan,Romance,4.09,"14,072",424,510,English,"6,631","6,183"
The Last Train to Key West,"June 16, 2020",Chanel Cleeton,Historical Fiction,4.1,"38,042",314,510,English,"3,059",40k
"Wotakoi: Love is Hard for Otaku, Vol. 4","October 13, 2020",Fujita,Manga,4.61,"5,448",256,510,English,123,"1,702"
How to Pronounce Knife: Stories,"April 7, 2020",Souvankham Thammavongsa,Short Stories,3.84,"18,843",192,510,English,677,32.5k
Happy & You Know It,"May 19, 2020",Laura Hankin,Fiction,3.68,"26,891",384,510,English,"1,511","4,647"
Plan for the Worst,"April 16, 2020",Jodi Taylor,Time Travel,4.54,"6,196",413,516,English,743,"2,447"
Poesy the Monster Slayer,"July 14, 2020",Cory Doctorow,Picture Books,3.79,313,40,516,English,2,181
No Good,"October 16, 2020",Stevie J. Cole,Romance,4.33,"2,481",428,516,English,926,"2,376"
Darling Rose Gold,"March 17, 2020",Stephanie Wrobel,Thriller,3.71,"38,403",311,516,English,"1,985",52.2k
A Warm Heart in Winter,"December 1, 2020",J.R. Ward,Romance,4.34,"9,259",481,516,English,"1,588","9,183"
Your French Kisses,"March 2, 2020",Lauren Blakely,Romance,3.96,"1,993",110,521,English,382,"1,243"
Most Likely,"March 10, 2020",Sarah Watson,Young Adult,3.9,"4,130",384,521,,169,"9,854"
Driftwood Dreams,"June 1, 2020",T.I. Lowe,Christian Fiction,4.18,"1,359",320,521,English,162,"2,801"
The Villain,"er 17, 2020",L.J. Shen,Romance,4.22,"52,044",420,521,English,"9,943",36.6k
The Trouble with Peace,"September 15, 2020",Joe Abercrombie,Fantasy,4.6,"36,080",506,521,English,"2,293",25k
We Ride Upon Sticks,"March 3, 2020",Quan Barry,Fiction,3.79,"16,483",367,521,English,"1,303",39.8k
When She Was Good,"July 28, 2020",Michael Robotham,Thriller,4.24,"24,873",352,527,English,"1,636",19k
Unmaking the Presidency: Donald Trump's War on the World's Most Powerful Office,"January 21, 2020",Susan Hennessey,Politics,4.27,438,432,527,English,209,"2,106"
One Hot Italian Summer,"July 28, 2020",Karina Halle,Romance,3.91,"5,280",384,527,English,"1,057","6,715"
Intimations,"July 28, 2020",Zadie Smith,Nonfiction,3.99,"27,771",97,527,English,"1,319",39k
Confessions on the 7:45,"June 25, 2019",Lisa Unger,Thriller,3.91,"58,338",368,527,English,"3,637",86k
ギヴン 6 [Given 6],"August 3, 2020",Natsuki Kizu,Manga,4.41,"5,730",157,527,Japanese,100,"2,337"
The Curator,"June 4, 2020",M.W. Craven,Crime,4.38,"10,491",352,533,English,502,"4,494"
By a Thread,"April 23, 2020",Lucy Score,Romance,4.09,"1,56,903",584,533,English,25.5k,180k
Right/Wrong: How Technology Transforms Our Ethics,"January 1, 2020",Juan Enriquez,Nonfiction,3.69,125,287,533,English,51,520
The Living Sea of Waking Dreams,"September 29, 2020",Richard Flanagan,Fiction,3.7,"4,372",240,536,English,410,"7,811"
"American Sherlock: Murder, Forensics, and the Birth of American CSI","February 11, 2020",Kate Winkler Dawson,Nonfiction,3.66,"9,789",336,536,English,"1,236",18.5k
Master Class,"April 21, 2020",Christina Dalcher,Dystopia,3.76,"10,443",321,536,English,436,13.6k
The Big Goodbye: Chinatown and the Last Years of Hollywood,"February 4, 2020",Sam Wasson,Nonfiction,4.09,"3,476",416,539,English,786,"5,283"
The Good Turn,"February 24, 2020",Dervla McTiernan,Mystery,4.22,"16,474",400,539,English,742,"9,859"
The Secret Lives of Church Ladies,"September 1, 2020",Deesha Philyaw,Short Stories,4.16,"38,002",179,539,English,"1,060",62k
Broken Knights,"August 29, 2020",Michelle Hercules,Reverse Harem,4.06,"2,891",455,539,English,"1,026","1,407"
The Animals at Lockwood Manor,"March 10, 2020",Jane Healey,Historical Fiction,3.3,"6,035",340,543,English,360,15.2k
Rage and Ruin,"June 9, 2020",Jennifer L. Armentrout,Fantasy,4.13,"41,616",468,543,English,"2,695",41.4k
Don't Hex and Drive,"September 8, 2020",Juliette Cross,Romance,4.09,"15,666",348,543,English,"1,390",10.6k
Real Life,"February 18, 2020",Brandon Taylor,Fiction,3.8,"35,192",329,546,English,"2,144","2,326"
Igniting Darkness,"August 4, 2020",Robin LaFevers,Fantasy,4.13,"2,741",496,546,English,167,12.1k
The Four Profound Weaves,"September 1, 2020",R.B. Lemberg,Fantasy,3.8,"1,208",192,546,English,68,"5,619"
Queen Move,"May 26, 2020",Kennedy Ryan,Romance,4.16,"10,772",300,546,English,"1,195",26k
The Silent Wife,"June 23, 2020",Karin Slaughter,Thriller,4.23,"66,750",496,550,English,"9,816",59.2k
Wolf Gone Wild,"January 14, 2020",Juliette Cross,Romance,3.94,"27,016",378,550,English,"3,364",38k
The Happiest Man on Earth,"July 28, 2020",Eddie Jaku,Nonfiction,4.62,"96,096",208,550,English,"3,932",120k
James Monroe: A Life,"May 5, 2020",Tim McGrath,Biography,4.22,"1,059",674,553,English,204,"1,661"
Under Scottish Stars,"July 1, 2020",Carla Laureano,Christian Fiction,4.1,818,368,553,English,109,"2,281"
One Last Lie,"June 30, 2020",Paul Doiron,Mystery,4.04,"4,252",310,553,English,"1,011",10.7k
I Am Not Your Slave: A Memoir,"January 7, 2020",Tupa Tjipombo,Nonfiction,4.59,310,216,553,English,18,"1,909"
The Psychology of Money,"January 1, 2020",Morgan Housel,Finance,4.3,"2,32,511",252,553,English,36.7k,386k
Time Shelter,"April 29, 2020",Georgi Gospodinov,Fiction,3.75,"20,593",304,553,English,"3,448",42.7k
And They Called It Camelot: A Novel of Jacqueline Bouvier Kennedy Onassis,"March 10, 2020",Stephanie Marie Thornton,Historical Fiction,4.19,"5,386",448,559,English,"1,448",11.5k
Shades of Magic Vol. 3: The Rebel Army,"April 21, 2020",Victoria E. Schwab,Fantasy,3.76,"2,237",112,559,English,16,"5,148"
War Lord,"October 15, 2020",Bernard Cornwell,Historical Fiction,4.6,"14,170",333,559,English,"1,797","8,035"
The Mystery of Mrs. Christie,"December 29, 2020",Marie Benedict,Historical Fiction,3.73,"43,651",272,559,English,"6,793",70.3k
Becoming Duchess Goldblatt,"July 7, 2020",Duchess Goldblatt,Memoir,4.04,"9,885",240,559,English,869,13.3k
Sin Eater,"March 31, 2020",Megan Campisi,Historical Fiction,3.61,"12,961",284,564,English,946,31.2k
Officer Clemmons,"May 5, 2020",François S. Clemmons,Memoir,3.93,"1,653",288,564,English,180,"6,255"
Hella,"June 16, 2020",David Gerrold,Science Fiction,3.52,831,446,564,English,117,"4,996"
"Corona, False Alarm?: Facts and Figures","June 22, 2020",Karina Reiss,Science,4.11,685,153,564,English,343,527
Imagine Me,"April 2, 2020",Tahereh Mafi,Fantasy,4,"2,33,243",450,568,English,"8,402",238k
The Peanuts Book: A Visual History of the Iconic Comic Strip,"September 22, 2020",Simon Beecroft,Nonfiction,4.45,117,200,568,English,19,122
Invisible Girl,"October 13, 2020",Lisa Jewell,Thriller,3.8,"1,58,859",404,568,English,10k,116k
The Talented Mr. Varg,"April 9, 2020",Alexander McCall Smith,Mystery,3.81,"3,855",240,571,English,412,"3,389"
The Broken Heart of America: St. Louis and the Violent History of the United States,"April 14, 2020",Walter Johnson,History,4.38,"1,741",528,571,English,558,"6,355"
Sucker Punch,"August 4, 2020",Laurell K. Hamilton,Fantasy,3.98,"8,985",624,571,English,"1,349","8,347"
Written in the Stars,"November 10, 2020",Alexandria Bellefleur,Romance,3.86,"58,009",370,571,English,2304,103k
The Queen,"July 20, 2020",Jennifer L. Armentrout,Fantasy,4.14,"5,047",146,571,English,405,"5,762"
No Prince,"March 26, 2020",Stevie J. Cole,Romance,3.99,"8,607",400,576,English,"3,322","8,180"
The Order of the Pure Moon Reflected in Water,"June 23, 2020",Zen Cho,Fantasy,3.62,"7,049",176,576,English,282,18.2k
Trust: America's Best Chance,"October 6, 2020",Pete Buttigieg,Nonfiction,4.14,"4,937",,576,English,831,"7,764"
What You Are Looking For Is in the Library,"November 9, 2020",Michiko Aoyama,Fiction,4.08,"68,405",304,576,English,"7,878",134k
"The Rural Diaries: Love, Livestock, and Big Life Lessons Down on Mischief Farm","May 5, 2020",Hilarie Burton Morgan,Nonfiction,4.42,"21,695",272,580,English,"1,037",19.7k
The Lantern Men,"February 6, 2020",Elly Griffiths,Mystery,4.2,"20,616",368,581,English,"1,980","4,716"
Sea of Ruin,"April 28, 2020",Pam Godwin,Romance,3.93,"15,380",467,581,English,"1,386",50k
"The Journeys of Trees: A Story about Forests, People, and the Future","July 14, 2020",Zach St. George,Nonfiction,3.89,589,244,581,English,101,"4,009"
Furia,"September 15, 2020",Yamile Saied Méndez,Young Adult,4.16,"14,281",368,584,English,611,30.6k
Eden,"March 30, 2020",Tim Lebbon,Horror,3.41,"1,543",279,585,English,152,"2,763"
Life of a Klansman: A Family History in White Supremacy,"August 4, 2020",Edward Ball,,3.76,955,416,585,English,248,"3,437"
Can I Come Over?,"June 4, 2020",Whitney G.,Romance,3.69,"7,104",96,585,English,"2,155","2,626"
Over the Woodward Wall,"October 6, 2020",A. Deborah Baker,Fantasy,3.68,"5,377",204,585,English,442,12.6k
People From My Neighbourhood,"August 6, 2020",Hiromi Kawakami,Short Stories,3.52,"10,776",121,585,English,813,35.7k
Hideaway,"May 26, 2020",Nora Roberts,Romance,4.07,"47,021",454,590,English,12.4k,25.8k
Separated: Inside an American Tragedy,"July 7, 2020",Jacob Soboroff,Nonfiction,4.16,"2,465",388,591,English,"1,151","6,046"
The End of October,"April 28, 2020",Lawrence Wright,Fiction,3.76,"19,232",374,591,English,"2,975",28.6k
Chaos and Grime: A Year in the Life of a Chinese City,"January 1, 2020",Jacob Acerbi,China,2.88,48,265,593,English,27,481
The Lions of Fifth Avenue,"August 4, 2020",Fiona Davis,Historical Fiction,3.9,"71,322",368,593,English,459,"4,124"
The Bright Side Sanctuary for Animals,"August 4, 2020",Becky Mandelbaum,Fiction,3.63,970,336,595,English,35,"5,552"
"Good Girl, Bad Blood","April 30, 2020",Holly Jackson,Mystery,4.28,"6,22,958",413,595,English,32.5k,434k
"Bag Man: The Wild Crimes, Audacious Cover-Up & Spectacular Downfall of a Brazen Crook in the White House","December 8, 2020",Rachel Maddow,History,4.32,"7,263",292,595,English,"1,450",13.8k
The End of Her,"July 28, 2020",Shari Lapena,Thriller,3.78,"1,02,430",352,598,English,"5,120",78.4k
Men to Avoid in Art and Life,"August 11, 2020",Nicole Tersigni,Humor,3.95,"2,247",96,598,English,79,"2,566"
Catherine House,"May 12, 2020",Elisabeth Thomas,Fiction,3.12,"27,366",311,600,English,"1,482",67.1k
The Best American Science And Nature Writing 2020,"November 3, 2020",Michio Kaku,Science,4.07,446,384,600,English,290,758
A Deal with the Elf King,"November 6, 2020",Elise Kova,Fantasy,3.71,"1,05,477",317,600,English,"9,770",144k
Gods of War,"May 19, 2020",James Lacey,History,3.97,90,388,603,English,25,200
Big Friendship: How We Keep Each Other Close,"July 14, 2020",Aminatou Sow,Nonfiction,3.75,"24,312",256,603,English,"1,764",56.3k
Burn,"June 2, 2020",Patrick Ness,Fantasy,3.73,"10,077",,605,English,382,24.5k
The Strays of Paris,"December 1, 2020",Jane Smiley,Fiction,3.99,"9,604",265,606,English,"1,410",11k
You're Not Listening: What You're Missing and Why It Matters,"January 7, 2020",Kate Murphy,Nonfiction,4.08,"20,301",278,607,English,"2,860",67.4k
Telephone,"January 1, 2020",Percival Everett,Fiction,3.98,"4,527",216,607,English,278,11.4k
Then the Fish Swallowed Him,"March 24, 2020",Amir Ahmadi Arian,Fiction,3.62,826,288,609,English,67,"2,294"
The Fifth Avenue Story Society,"February 4, 2020",Rachel Hauck,Fiction,4.03,"10,247",400,610,English,"1,133",11.9k
"Joe Biden: The Life, the Run, and What Matters Now","October 6, 2020",Evan Osnos,Biography,3.71,"3,322",172,610,English,367,"4,781"
I Left The House Today!,"June 2, 2020",Cassandra Calin,Graphic Novels,4.04,"3,968",144,612,English,49,"4,083"
Redhead by the Side of the Road,"April 7, 2020",Anne Tyler,Fiction,3.61,"47,319",178,612,English,"5,160",27.8k
The Founding Fortunes: How the Wealthy Paid for and Profited from America's Revolution,"January 21, 2020",Tom Shachtman,History,3.74,65,352,614,English,16,273
Katheryn Howard: the Scandalous Queen,"May 12, 2020",Alison Weir,Historical Fiction,4.09,"6,304",480,614,English,858,13.1k
The Two Lives of Lydia Bird,"January 30, 2020",Josie Silver,Romance,3.74,"69,084",369,614,English,"4,058",111k
Vagina Problems,"October 6, 2020",Lara Parker,Nonfiction,3.74,"1,158",240,617,English,154,"8,315"
Eden Mine,"February 11, 2020",S.M. Hulse,Fiction,4.01,"1,071",259,618,English,116,"4,069"
No Offense,"August 11, 2020",Meg Cabot,Romance,3.22,"14,742",340,618,English,873,13.8k
A Single Rose,"August 19, 2020",Muriel Barbery,Fiction,3.45,"3,854",160,618,English,257,"6,829"
Westering Women,"January 7, 2020",Sandra Dallas,Historical Fiction,3.97,"6,078",336,621,English,467,"7,501"
Fortune and Glory: Tantalizing Twenty-Seven,"November 10, 2020",Janet Evanovich,Mystery,4.05,"45,986",315,621,English,11.8k,11.5k
Famine,"October 1, 2020",Laura Thalassa,Fantasy,4.2,"44,263",472,621,English,"3,108",39.6k
"World of Wonders: In Praise of Fireflies, Whale Sharks, and Other Astonishments","September 8, 2020",Aimee Nezhukumatathil,Nonfiction,4.06,"21,752",177,624,English,"2,293",53.8k
Why We Swim,"April 14, 2020",Bonnie Tsui,Nonfiction,3.95,"9,616",277,624,English,"1,288",31.4k
A Black Women's History of the United States,"February 4, 2020",Daina Ramey Berry,History,4.3,"3,313",273,626,English,667,32
A Private Cathedral,"August 11, 2020",James Lee Burke,Mystery,4.02,"7,111",384,626,English,"2,731","6,628"
Not My Romeo,"August 18, 2020",Ilsa Madden-Mills,Romance,4.06,"37,447",349,626,English,"6,815",25.1k
A Song Below Water,"June 2, 2020",Bethany C. Morrow,Fantasy,3.74,"11,707",,629,English,715,46.8k
The Faceless Old Woman Who Secretly Lives In Your Home,"March 24, 2020",Joseph Fink,Fantasy,4.07,"7,644",384,629,English,676,15.9k
A Fatal Thing Happened on the Way to the Forum: Murder in Ancient Rome,"September 17, 2020",Emma Southon,History,4.09,"4,854",352,629,English,688,13.3k
"Love in Colour: Mythical Tales from Around the World, Retold","August 20, 2020",Bolu Babalola,Romance,3.95,"16,371",304,632,English,"1,827",57.7k
The King's Justice,"February 25, 2020",Susan Elia MacNeal,Mystery,4.02,"6,056",339,632,English,872,"7,957"
You Were Made For Me,"August 11, 2020",Jenna Guillaume,Romance,3.35,683,336,634,English,18,"3,269"
Red Pill,"September 1, 2020",Hari Kunzru,Fiction,3.66,"5,746",304,634,English,411,11k
Recipe for Persuasion,"May 26, 2020",Sonali Dev,Romance,3.8,"12,362",464,636,English,660,19.1k
Love & Other Crimes,"June 30, 2020",Sara Paretsky,Mystery,3.76,744,448,636,English,368,"3,267"
A Lighted Lamp: Scenes of Christmas Through Time,"October 1, 2020",Donna Fletcher Crow,Christmas,4.27,11,196,636,English,,
Gathering Evidence,"January 1, 2020",Martin MacInnes,Fiction,3.49,305,320,639,English,28,875
Children of Ash and Elm: A History of the Vikings,"August 25, 2020",Neil Price,History,4.17,"7,201",656,639,,"2,213",24k
The Cousins,"December 1, 2020",Karen M. McManus,Mystery,3.77,"1,27,883",337,639,English,"4,683",150k
What Kind of Woman: Poems,"November 10, 2020",Kate Baer,Poetry,4.06,"18,983",94,639,English,775,32.1k
The NRA: The Unauthorized History,"March 31, 2020",Frank Smyth,Nonfiction,3.68,237,304,643,English,33,412
Wicked Dreams,"February 2, 2020",S. Massery,Romance,3.94,"7,888",340,643,English,"3,075",11.8k
Girls of Brackenhill,"November 1, 2020",Kate Moretti,Mystery,3.76,"15,348",330,645,English,"7,979",11.3k
The Oldest Student: How Mary Walker Learned to Read,"January 7, 2020",Rita Lorraine Hubbard,Picture Books,4.6,"3,524",34,645,English,33,"4,387"
"The Mermaid, the Witch, and the Sea","May 5, 2020",Maggie Tokuda-Hall,Fantasy,3.81,"11,351",417,645,English,947,46.7k
Grown,"September 15, 2020",Tiffany D. Jackson,Young Adult,4.25,"36,261",384,645,English,932,75.4k
Faked,"June 16, 2020",Karla Sorensen,Romance,4.06,"17,434",259,649,English,"6,433","9,964"
No Time Like the Future: An Optimist Considers Mortality,"November 17, 2020",Michael J. Fox,Nonfiction,4.12,"22,453",238,649,English,"2,206",16.1k
The Perfect World of Miwako Sumida,"March 10, 2020",Clarissa Goenawan,Fiction,3.83,"4,131",288,649,English,137,11.4k
Man of My Time,"April 14, 2020",Dalia Sofer,Fiction,3.86,512,386,652,English,102,"3,224"
The Janes,"January 21, 2020",Louisa Luna,Mystery,3.95,"4,911",360,653,English,373,"9,540"
The King at the Edge of the World,"February 11, 2020",Arthur Phillips,Historical Fiction,3.55,"2,448",266,653,English,649,10.4k
The Romantic Pact,"December 7, 2020",Meghan Quinn,Romance,4.16,"8,387",334,653,English,"4,213","7,956"
The Jackal,"August 18, 2020",J.R. Ward,Paranormal,4.25,"11,601",365,656,English,"2,363",16.4k
The Summer Deal,"June 2, 2020",Jill Shalvis,Romance,3.82,"9,144",384,656,English,"1,530",14.6k
Followers,"January 14, 2020",Megan Angelo,Fiction,3.62,"18,466",380,656,English,"1,197",38.2k
Rejected,"December 8, 2020",Jaymin Eve,Fantasy,4.17,"41,907",399,656,English,12.6k,26k
Just One Year,"February 24, 2020",Penelope Ward,Romance,3.86,"9,658",311,660,English,"1,185",14.2k
The Burglar in Short Order,"February 29, 2020",Lawrence Block,Mystery,3.84,642,139,661,English,143,474
Supernatural Academy: Year Three,"March 1, 2020",Jaymin Eve,Fantasy,4.41,"6,965",326,661,English,"1,957","2,523"
The Lord Sorcier,"January 1, 2020",Olivia Atwater,Fantasy,3.58,"4,719",33,663,English,32,"4,438"
The Dare,"June 16, 2020",Elle Kennedy,Romance,3.76,"1,12,255",354,664,English,"4,386",90k
Only When It's Us,"March 27, 2020",Chloe Liese,Romance,3.93,"52,154",386,664,English,"1,989",86.7k
Party of Two,"June 23, 2020",Jasmine Guillory,Romance,3.75,"51,281",312,666,English,"3,007",60.2k
Homeland Elegies,"September 15, 2020",Ayad Akhtar,Fiction,4.13,"23,956",368,667,English,"3,160",61k
The Thirty Names of Night,"November 24, 2020",Zeyn Joukhadar,Fiction,4.03,"4,737",291,668,English,438,26.6k
A Heart of Blood and Ashes,"February 4, 2020",Milla Vane,Fantasy,3.86,"8,797",534,668,English,890,23.3k
Crooked River,"February 4, 2020",Douglas Preston,Mystery,4.26,"18,366",400,670,English,"2,328","5,942"
Credible Threat,"June 2, 2020",J.A. Jance,Mystery,4.13,"5,072",336,670,English,"1,356","4,540"
The Trouble with Hating You,"May 12, 2020",Sajni Patel,Romance,3.8,"25,108",336,670,English,687,52.7k
Wild at Heart,"February 18, 2020",K.A. Tucker,Contemporary,4.15,"58,056",472,673,English,"2,611",45.5k
The Dare,"January 31, 2020",Lauren Landish,Romance,3.87,"14,906",302,674,English,19.8k,"9,231"
The Awkward Black Man,"September 15, 2020",Walter Mosley,Short Stories,4.05,"1,580",336,675,English,478,"4,741"
The Brother Years: A Novel,"August 4, 2020",Shannon Burke,Contemporary,4.09,148,288,676,English,12,560
The Ravens,"November 3, 2020",Kass Morgan,Fantasy,3.66,"9,633",400,676,English,483,25.3k
A Rogue of One's Own,"September 1, 2020",Evie Dunmore,Romance,4.02,"43,641",448,678,English,"1,663",53.6k
Dark Fairy Tales,"August 14, 2020",C.J. Roberts,Romance,3.83,"2,701",618,679,English,"2,147","7,878"
Daring and the Duke,"June 30, 2020",Sarah MacLean,Romance,3.77,"11,768",384,680,English,"1,362","8,488"
Minor Dramas & Other Catastrophes,"February 4, 2020",Kathleen West,Fiction,3.74,"5,431",384,681,English,512,11.1k
The Lost Book of the White,"September 1, 2020",Cassandra Clare,Fantasy,3.97,"30,312",365,681,English,"1,737",53.3k
Pride and Power: A Modern History of Iraq,"November 26, 2020",Johan Franzen,,4,6,660,683,English,4,49
Jaxon,"June 5, 2020",Olivia T. Turner,Romance,4.3,791,77,684,English,401,274
"The Hundred Years' War on Palestine: A History of Settler-Colonial Conquest and Resistance, 1917-2017","January 28, 2020",Rashid Khalidi,History,4.49,"22,351",336,685,English,11.4k,94.9k
The Second Chance Club: Hardship and Hope After Prison,"February 18, 2020",Jason Hardy,Nonfiction,4.05,709,288,686,English,85,"2,768"
The Life and (Medieval) Times of Kit Sweetly,"May 5, 2020",Jamie Pacton,Young Adult,3.56,"2,995",384,686,English,75,12k
Return Billionaire to Sender,"October 20, 2020",Annika Martin,Romance,3.88,"6,294",352,686,English,790,"4,018"
Outbound Train,"April 1, 2020",Renea Winchester,Fiction,4.33,242,260,689,English,44,558
Sternenstaubkind (Sternenmagie 1),"February 26, 2020",Isa Day,,4.5,6,132,689,German,12,
The Color of Air,"July 7, 2020",Gail Tsukiyama,Historical Fiction,3.82,"4,262",304,689,English,657,"9,258"
Running Against the Devil: A Plot to Save America from Trump — And Democrats from Themselves,"January 14, 2020",Rick Wilson,Politics,4.15,"1,497",352,689,English,865,"2,102"
Writers Revenge: Four Authors and the Publisher from Hell,"March 1, 2020",Alice Gamble,,2.87,31,212,689,English,3,118
"Big Girl, Small Town","February 20, 2020",Michelle Gallen,Fiction,3.35,"6,610",352,689,English,710,12.6k
You Exist Too Much,"June 9, 2020",Zaina Arafat,Fiction,3.63,"18,555",263,689,English,"1,054",61.3k
Kings Falling,"March 31, 2020",Ronie Kendig,Christian Fiction,4.48,345,352,689,English,32,761
Man of War: The Rebels and Redcoats Saga Prequel,"April 11, 2020",T.J. London,Historical Romance,4.8,55,643,689,English,11,130
It All Began with a Note,"January 8, 2020",H.M. Shander,Contemporary,4.02,259,,689,English,162,488
His Accidental Daddy,"April 13, 2020",Luna David,M M Romance,4.09,"1,306",292,689,English,346,442
Sunbathing I Want To,"May 24, 2020",Nicholas Dolinger,Fiction,3.5,12,56,689,English,,116
Storing Up Trouble,"May 1, 2020",Jen Turano,Historical Fiction,4.31,"1,519",359,689,English,179,"1,702"
A Bit of a Stretch,"February 6, 2020",Chris Atkins,Nonfiction,4.21,"10,597",327,689,English,581,"9,846"
The Memory Wood,"February 20, 2020",Sam Lloyd,Thriller,4.16,"9,427",384,689,English,532,12.7k
The Duke of Diamonds,"April 2, 2020",Emily Windsor,Historical Romance,4.16,"1,870",300,689,English,673,548
"The Influence of Soros: Politics, Power, and the Struggle for an Open Society","July 7, 2020",Emily Tamkin,Politics,3.84,152,320,689,English,65,350
Lost in the City of @,"February 28, 2020",Michael Bell,Fiction,4.52,56,354,689,English,3,"3,615"
Alsea Rising: Gathering Storm,"July 31, 2020",Fletcher DeLancey,Science Fiction,4.72,244,407,689,English,27,114
A Sky Beyond the Storm,"December 1, 2020",Sabaa Tahir,Fantasy,4.3,"68,076",516,689,English,"2,912",102k
The Heretic,"June 1, 2020",Allysha Lavino,,4.63,43,444,689,English,16,55
The Renascent World,"July 21, 2020",Carryn W. Kerr,Science Fiction,4.31,36,419,689,English,7,"3,808"
Malorie,"July 21, 2020",Josh Malerman,Horror,3.8,"25,244",301,689,English,"1,239",40k
The Beast of Bellevue,"December 1, 2020",Grace Chen,Young Adult,3.96,78,252,689,English,1,118
The Singular Prize,"January 22, 2021",Francisca Anselm,,5,4,,689,English,,10
Salvar el fuego,"March 19, 2020",Guillermo Arriaga,Fiction,4.3,"11,181",664,689,Spanish; Castilian,"1,323",11.9k
Just a Boy and a Girl in a Little Canoe,"May 19, 2020",Sarah Mlynowski,Young Adult,3.1,"2,455",352,689,English,83,"5,800"
Fortitude: American Resilience in the Era of Outrage,"April 7, 2020",Dan Crenshaw,Nonfiction,4.41,"7,865",256,689,English,"2,023","6,678"
Jefferson Parish a Novel,"July 15, 2020",Michael W. Hull,Fiction,4.27,15,261,689,English,1,"3,204"
APOPHIS - Into the Folds of Darkness,"September 23, 2020",Raj Anand,Amazon,4.38,32,456,689,English,30,49
